epoch,mean_return,mean_length,norm_length,success,pi_loss,v_loss,entropy,belief_loss,kl,clip_frac,grad_norm,eta_mean,alpha_sat,theta_mean,theta_sat,scratch_sat,surprise_mean,surprise_high,alpha_mean,scratch_norm,best_mmer,best_epoch
0,-0.38267148014440244,682.6666666666666,682.6666666666666,0.3333333333333333,0.060395725071430206,0.0073736917693167925,1.3832130829493205,7.084612051645915,-0.00029413780430331826,0.0,0.31444138785203296,0.5053067604700724,0.0,0.7580033540725708,0.0,0.007401646890987952,2.618049462636312,0.04090416835000118,0.0,19.571055094401043,-0.38267148014440244,0
1,-0.38828720417167867,682.6666666666666,682.6666666666666,0.0,-0.02541857088605563,0.0015791346474240224,1.3819727500279744,7.095372200012207,0.00031756626170439023,0.0,0.25688619414965314,0.5053226153055826,0.0,0.7581263581911722,0.0,0.007231396002074082,2.6257294019063315,0.036190452675024666,0.0,19.62141990661621,-0.38267148014440244,0
2,-0.41395908543922744,682.6666666666666,682.6666666666666,0.0,0.06619101762771606,0.0010569182437999796,1.3802156448364258,7.08679993947347,-0.00010250145957494776,0.0,0.18817321211099625,0.5053121248881022,0.0,0.7580376267433167,0.0,0.00720606604591012,2.6205645402272544,0.062281123052040734,0.0,19.58613650004069,-0.38267148014440244,0
3,-0.426795026073002,682.6666666666666,682.6666666666666,0.6666666666666666,-0.030854930480321247,0.0015550718720381458,1.3794221878051758,7.098412195841472,0.00015151956904446706,0.0,0.18694235384464264,0.5053274432818095,0.0,0.7581639687220255,0.0,0.0071044983342289925,2.6280360221862793,0.034218091828127704,0.0,19.64662043253581,-0.38267148014440244,0
4,-0.4043321299638965,682.6666666666666,682.6666666666666,0.6666666666666666,-0.10053460796674092,0.0009503772210640212,1.37916898727417,7.065963268280029,0.00014264374476624653,0.0,0.2120648274819056,0.5053110917409261,0.0,0.7579006751378378,0.0,0.007050964515656233,2.619244416554769,0.07962398479382198,0.0,19.570581436157227,-0.38267148014440244,0
5,-0.42438828720416905,682.6666666666666,682.6666666666666,0.3333333333333333,-0.044907848040262856,0.0004259968991391361,1.380036195119222,7.024906953175862,-8.62964807311073e-05,0.0,0.16225272417068481,0.5053029656410217,0.0,0.7576057314872742,0.0,0.006883108677963416,2.6138885815938315,0.04522195893029372,0.0,19.521873474121094,-0.38267148014440244,0
6,-0.3939029281989548,682.6666666666666,682.6666666666666,0.0,-0.08301323093473911,0.00020217799465171993,1.3815529346466064,6.983068943023682,0.0002998354669519661,0.0,0.1465081845720609,0.5052894552548727,0.0,0.7572876413663229,0.0,0.00677971417705218,2.6060705184936523,0.04094261862337589,0.0,19.451452891031902,-0.38267148014440244,0
7,-0.4163658243080602,682.6666666666666,682.6666666666666,0.0,-0.03400203585624695,0.0004858304843461762,1.3816875616709392,6.956531047821045,-5.9996527852490544e-06,0.0,0.16327777008215585,0.5052854220072428,0.0,0.7571029265721639,0.0,0.0067686365606884165,2.603141943613688,0.03732731379568577,0.0,19.425399780273438,-0.38267148014440244,0
8,-0.393902928198955,682.6666666666666,682.6666666666666,1.0,-0.045559694369633995,0.00038349338380309444,1.3821486632029216,6.8962710698445635,-0.0001307466639749085,0.0,0.21136361360549927,0.5052595337231954,0.0,0.7566252748171488,0.0,0.006726480865230163,2.5888917446136475,0.02295338859160741,0.0,19.304035822550457,-0.38267148014440244,0
9,-0.40272763738467465,682.6666666666666,682.6666666666666,0.0,-0.1078313837448756,0.00015355417660127083,1.3821435769399006,6.97488005956014,-0.0003763421361024181,0.0,0.15436897178490958,0.5052923361460367,0.0,0.7572448054949442,0.0,0.006811161525547504,2.6070361137390137,0.022830766004820664,0.0,19.457061131795246,-0.38267148014440244,0
10,-0.39871640593662055,682.6666666666666,682.6666666666666,0.0,0.03399699926376343,0.00013884797711701444,1.3803224960962932,6.98019806543986,0.0005746133586702248,0.0,0.19130682945251465,0.5052936673164368,0.0,0.757283627986908,0.0,0.006891251541674137,2.607851505279541,0.024062192688385647,0.0,19.466180165608723,-0.38267148014440244,0
11,-0.3666265543521845,682.6666666666666,682.6666666666666,0.3333333333333333,0.06800688306490581,0.00016772373055573553,1.3773767550786336,7.052909692128499,0.00028510876776029664,0.0,0.1705717792113622,0.5054392417271932,0.0,0.757369597752889,0.0,0.007173831108957529,2.618860403696696,0.03356132904688517,0.012711489262680212,19.682282129923504,-0.3666265543521845,11
12,-0.3979141596470089,682.6666666666666,682.6666666666666,0.0,-0.23512312645713487,0.0005495462974067777,1.3715666929880779,7.5031280517578125,-0.0003640218637883663,0.0,0.1860532412926356,0.5061341126759847,0.0,0.759975016117096,0.0,0.00849493220448494,2.7003344694773355,0.03782300278544426,0.02544238107899825,20.58115514119466,-0.3666265543521845,11
13,-0.40834336141195055,682.6666666666666,682.6666666666666,0.3333333333333333,-0.24641061822573343,0.0002604966963796566,1.3640445073445637,7.749245643615723,-9.832543825420241e-05,0.0,0.17140219981471697,0.506676991780599,0.0,0.7609411279360453,0.0,0.009325479778150717,2.744248628616333,0.03294821393986543,0.03816115856170654,21.113040288289387,-0.3666265543521845,11
