epoch,mean_return,mean_length,norm_length,success,pi_loss,v_loss,entropy,belief_loss,kl,clip_frac,grad_norm,eta_mean,alpha_sat,theta_mean,theta_sat,scratch_sat,surprise_mean,surprise_high,alpha_mean,scratch_norm,best_mmer,best_epoch
0,-0.8714975845410654,204.8,204.8,0.0,-0.002056835126131773,0.046892622765153644,2.772081398963928,0.3700209349393845,-6.159423082863213e-05,0.0,0.49303924292325974,0.4986856460571289,0.0,0.7056457877159119,0.0,0.0,0.5988890111446381,0.06614701701328159,0.0,3.9369160890579225,-0.8714975845410654,0
1,-0.8599033816425147,204.8,204.8,0.1,-0.002372704818844795,0.010670747654512525,2.771761965751648,1.0033668160438538,0.0001877427926956443,0.0,0.2707363173365593,0.4979890912771225,0.0,0.7145781815052032,0.0,0.0,0.9884903371334076,0.17970753088593483,0.0,6.614818334579468,-0.8599033816425147,1
2,-0.86570048309179,204.8,204.8,0.0,0.0026845455169677733,0.0020838494296185673,2.7714309692382812,1.315824294090271,0.0003943602154322434,0.0,0.1252032421529293,0.49771644175052643,0.0,0.7185841858386993,0.0,0.0,1.143220019340515,0.2063689760863781,0.0,7.709480476379395,-0.8599033816425147,1
3,-0.8637681159420316,204.8,204.8,0.0,0.004670060425996781,0.0018918864196166396,2.771048927307129,1.4260131120681763,-0.00020474187331274152,0.0,0.11727621406316757,0.4976345956325531,0.0,0.719921886920929,0.0,0.0,1.190373468399048,0.22738476991653442,0.0,8.05545620918274,-0.8599033816425147,1
4,-0.8859903381642539,204.8,204.8,0.0,-0.001362532377243042,0.0019927142304368315,2.770484972000122,1.485339379310608,-8.640918385935948e-05,0.0,0.11213717311620712,0.49759191572666167,0.0,0.7206346392631531,0.0,0.0,1.215041184425354,0.2338477537035942,0.0,8.238924694061279,-0.8599033816425147,1
5,-0.86570048309179,204.8,204.8,0.0,-0.0023401502519845964,0.0016855222638696432,2.7702702045440675,1.3785361051559448,0.00019918718271583202,0.0,0.10679381117224693,0.4976683914661407,0.0,0.7193532407283783,0.0,0.0,1.1708070635795593,0.1995377965271473,0.0,7.91586742401123,-0.8599033816425147,1
6,-0.8705314009661862,204.8,204.8,0.0,-0.0014156455174088479,0.0014827517326921225,2.7703190088272094,1.3934500336647033,-0.00019301318752695806,0.0,0.10972089618444443,0.49765699207782743,0.0,0.7195359528064728,0.0,0.0,1.1773515224456788,0.2279697060585022,0.0,7.961885261535644,-0.8599033816425147,1
7,-0.8888888888888916,204.8,204.8,0.0,-0.001967233419418335,0.0013053210452198983,2.7704959869384767,1.3979211926460267,-0.00010594446357572451,0.0,0.10417653173208237,0.49765355587005616,0.0,0.7195908784866333,0.0,0.0,1.1793278217315675,0.28531922996044157,0.0,7.973519659042358,-0.8599033816425147,1
8,-0.86570048309179,204.8,204.8,0.0,-0.006767994165420533,0.0013914942275732756,2.770334982872009,1.424834418296814,0.00013789505683234893,0.0,0.10675471350550651,0.49763394296169283,0.0,0.7199156284332275,0.0,0.0,1.1906522870063783,0.24978978484869002,0.0,8.053980445861816,-0.8599033816425147,1
9,-0.8821256038647369,204.8,204.8,0.0,-0.0006793320178985595,0.0014295440108980984,2.7701009273529054,1.3641478896141053,3.10875602735905e-05,0.0,0.10626055970788002,0.4976781398057938,0.0,0.7191835701465606,0.0,0.0,1.1651367664337158,0.24198981001973152,0.0,7.867223167419434,-0.8599033816425147,1
10,-0.8743961352657031,204.8,204.8,0.0,0.002071001473814249,0.0013545647670980543,2.76971378326416,1.4278512239456176,0.00012838888342230347,0.0,0.10903837159276009,0.4976310759782791,0.0,0.7199555099010467,0.0,0.0,1.1922628998756408,0.24834051132202148,0.0,8.062897682189941,-0.8599033816425147,1
11,-0.8550724637681185,204.8,204.8,0.0,-0.0053899260237813,0.001126284891506657,2.7697830200195312,1.0314659655094147,1.5882840671110899e-06,0.0,0.09690227583050728,0.49837829172611237,0.0,0.7136105358600616,0.0,0.0,1.0004000186920166,0.25347172617912295,0.012342783436179162,6.739462757110596,-0.8550724637681185,11
12,-0.8502415458937224,204.8,204.8,0.0,0.0022452931851148607,0.0009908448671922087,2.770252013206482,0.4291487067937851,-5.64418675367051e-05,0.0,0.09945555701851845,0.4982271552085876,0.0,0.7032291054725647,0.0,0.0,0.6500529408454895,0.0759603064507246,0.0247868787497282,4.323917651176453,-0.8502415458937224,12
13,-0.8763285024154616,204.8,204.8,0.0,-0.003623334690928459,0.0010675141704268754,2.7704811096191406,0.385170578956604,3.99678017856786e-05,0.0,0.09798270389437676,0.4987223416566849,0.0,0.701507031917572,0.0,0.0,0.6158534824848175,0.034276014845818284,0.03718786872923374,4.152646684646607,-0.8502415458937224,12
14,-0.8869565217391331,204.8,204.8,0.0,-0.005945276468992233,0.0010278933972585947,2.7705352783203123,0.36401606202125547,3.207726695109159e-05,0.0,0.10042525976896285,0.4989855170249939,0.0,0.7005504012107849,0.0,0.0,0.5976982951164246,0.018759629549458624,0.04959591999650002,4.093447732925415,-0.8502415458937224,12
15,-0.8705314009661862,204.8,204.8,0.0,0.0053617144003510475,0.0010784940037410705,2.770358109474182,0.5269483864307404,-3.8073437826824376e-05,0.0,0.11129971370100974,0.49866010546684264,0.0,0.7017370462417603,0.0,0.0,0.718709534406662,0.08636897765100002,0.061942949518561365,5.026407527923584,-0.8502415458937224,12
16,-0.8676328502415485,204.8,204.8,0.0,-0.0011459451168775558,0.000877242861315608,2.770029377937317,0.5998683840036392,0.00024882933939807117,0.0,0.11075633615255356,0.4976173162460327,0.0,0.7019545018672944,0.0,0.0,0.7665689527988434,0.06755189932882785,0.07429794818162919,5.482177972793579,-0.8502415458937224,12
17,-0.8714975845410654,204.8,204.8,0.0,0.0020527634769678116,0.000904609722783789,2.7697561740875245,0.5775818347930908,0.00019656620206660592,0.0,0.10499004274606705,0.4963443398475647,0.0,0.7013690590858459,0.0,0.0,0.7542851030826568,0.10477085895836354,0.08671042621135712,5.488947629928589,-0.8502415458937224,12
18,-0.8676328502415485,204.8,204.8,0.0,0.0014463897794485092,0.0010167447617277503,2.768445873260498,0.7756743967533112,0.0008282721515570302,0.0,0.11769077442586422,0.49493762850761414,0.0,0.7028715252876282,0.0,0.0,0.8738039314746857,0.10461156796663999,0.09895669594407082,6.518937444686889,-0.8502415458937224,12
