epoch,mean_return,mean_length,norm_length,success,pi_loss,v_loss,entropy,kl,clip_frac,grad_norm,best_mmer,best_epoch
0,-0.9764113300492611,5.044334975369458,0.05044334975369459,0.012315270935960592,0.1803621963019772,0.05459643393228188,1.062457329680767,0.09285551419685505,0.44561235366269875,2.1749843431480707,-0.9764113300492611,0
1,-0.9578710801393728,7.13588850174216,0.07135888501742159,0.020905923344947737,0.2227510065059356,0.10254561018376128,1.0291489042886874,0.06809568537142816,0.320200177285989,2.5436528418018427,-0.9578710801393728,1
2,-0.9643228699551569,9.183856502242152,0.09183856502242155,0.017937219730941704,0.3431971141141359,0.11911742674168424,1.0174470263211717,0.04336187120717983,0.2332825832603491,3.598208938478889,-0.9578710801393728,1
3,-0.9720274725274725,11.252747252747254,0.11252747252747256,0.016483516483516484,0.4163311551846973,0.16813906016510113,0.9772761303644913,0.03891353212704971,0.15846787502600268,4.986158197725212,-0.9578710801393728,1
4,-0.9924242424242424,15.515151515151516,0.15515151515151515,0.0,0.45433687208093365,0.1876114094382942,0.9347860876357916,0.027896040277978915,0.11638012696339776,6.212907650931315,-0.9578710801393728,1
5,-0.954,21.557894736842105,0.21557894736842106,0.010526315789473684,0.5875117831520345,0.5186503229466708,0.8733806020335148,0.04876288766573261,0.2522096585286291,9.29200009985974,-0.954,5
6,-0.972972972972973,27.675675675675677,0.27675675675675676,0.0,0.49101793010895317,0.6751619896071183,0.8195425723050092,0.035550060996110855,0.07194932258209667,10.482331391927358,-0.954,5
7,-0.8163265306122449,41.795918367346935,0.41795918367346946,0.0,0.61767440505934,1.4847772262363257,0.7822229594600444,0.009945432877300067,0.028133070761603967,17.05964132352751,-0.8163265306122449,7
8,-0.7788333333333333,48.76190476190476,0.4876190476190476,0.023809523809523808,0.5282901631934303,1.633869089540981,0.7690529936835879,0.011641592944978843,0.02493677498950135,17.687472590378352,-0.7788333333333333,8
9,-0.6410256410256411,52.51282051282051,0.5251282051282051,0.0,0.6594301343728335,1.9780643337812178,0.7560571615512555,0.012884000043595297,0.01862908871128009,20.90804322560628,-0.6410256410256411,9
10,-0.5172413793103449,70.62068965517241,0.7062068965517243,0.0,0.4685900052045954,2.48557461952341,0.734768203620253,0.034305570104199185,0.47220929223915625,40.88696550500804,-0.5172413793103449,10
11,-0.5454545454545454,62.06060606060606,0.6206060606060606,0.0,0.6078509896090536,1.5142185015208793,0.7353176998369622,0.016099488226779722,0.04196884991093115,20.936231692632038,-0.5172413793103449,10
