epoch,mean_return,mean_length,norm_length,success,pi_loss,v_loss,entropy,kl,clip_frac,grad_norm,best_mmer,best_epoch
0,-0.8676328502415485,204.8,204.8,0.0,-0.0034571276977658273,0.04641762711107731,2.771639013290405,-0.0001416489613518479,0.0,0.5151768729090691,-0.8676328502415485,0
1,-0.8869565217391331,204.8,204.8,0.1,-0.0027528634294867516,0.009465406462550164,2.7708584308624267,0.00045363199466024183,0.0,0.2858844004571438,-0.8676328502415485,0
2,-0.8743961352657031,204.8,204.8,0.1,0.0038839638233184814,0.0024879072327166794,2.7704569339752196,-0.0001085193245081939,0.0,0.15388923063874244,-0.8676328502415485,0
3,-0.8830917874396162,204.8,204.8,0.0,-0.000847148708999157,0.0021126070409081877,2.7700565814971925,0.00011479185713483275,0.0,0.12307824864983559,-0.8676328502415485,0
4,-0.86570048309179,204.8,204.8,0.0,-0.002619327511638403,0.0017517091240733863,2.7698065757751467,-6.891193491469494e-05,0.0,0.11330643594264984,-0.86570048309179,4
5,-0.8608695652173939,204.8,204.8,0.0,-0.0004070572555065155,0.0017595919081941247,2.7697048664093016,0.00012864400158854039,0.0,0.12409374862909317,-0.8608695652173939,5
6,-0.8869565217391331,204.8,204.8,0.0,-0.002053558640182018,0.0015599647769704462,2.769536089897156,-6.213840113105107e-05,0.0,0.1069815143942833,-0.8608695652173939,5
7,-0.8801932367149785,204.8,204.8,0.0,0.0012827384751290082,0.001570313097909093,2.7693215370178224,0.00014231571356049244,0.0,0.11402629688382149,-0.8608695652173939,5
8,-0.8637681159420316,204.8,204.8,0.0,0.0002585342153906822,0.0013920821715146304,2.769451856613159,0.0001738662416101988,0.0,0.1092443086206913,-0.8608695652173939,5
9,-0.8772946859903408,204.8,204.8,0.0,-0.0028401775285601615,0.001487499091308564,2.76981463432312,3.810954040943671e-05,0.0,0.11792026907205581,-0.8608695652173939,5
10,-0.8647342995169108,204.8,204.8,0.0,-0.00014712586998939515,0.0013095287140458822,2.7699661254882812,0.00010550023991839907,0.0,0.10798536166548729,-0.8608695652173939,5
11,-0.8821256038647369,204.8,204.8,0.0,-0.0005751559510827065,0.0013777814107015728,2.769636702537537,-0.00014545550538400676,0.0,0.1161781407892704,-0.8608695652173939,5
12,-0.8550724637681185,204.8,204.8,0.0,0.0013378433883190154,0.0011490855948068201,2.769431805610657,0.00028676560898617255,0.0,0.09826864004135132,-0.8550724637681185,12
13,-0.869565217391307,204.8,204.8,0.0,0.003988192416727543,0.001134498295141384,2.7697720289230348,-6.98015996107415e-05,0.0,0.09812462851405143,-0.8550724637681185,12
14,-0.8637681159420316,204.8,204.8,0.0,-0.0009196624159812927,0.0011741138645447791,2.769859862327576,-7.173112509519796e-05,0.0,0.10344901829957961,-0.8550724637681185,12
15,-0.8724637681159446,204.8,204.8,0.0,0.001279371976852417,0.0012010900245513767,2.7697030782699583,0.0003386789574932436,0.0,0.1093792475759983,-0.8550724637681185,12
16,-0.8792270531400993,204.8,204.8,0.0,-0.006572163477540016,0.0011933834699448197,2.769495701789856,0.00014794630077687997,0.0,0.10638772025704384,-0.8550724637681185,12
17,-0.8859903381642539,204.8,204.8,0.0,-0.0034149982035160064,0.0011536993959452956,2.7692259311676026,-0.00011050457880799059,0.0,0.10927355587482453,-0.8550724637681185,12
18,-0.8714975845410654,204.8,204.8,0.1,0.0024265557527542113,0.001144600927364081,2.768991994857788,0.00018275566052352587,0.0,0.10700330808758736,-0.8550724637681185,12
19,-0.8714975845410654,204.8,204.8,0.0,0.0004894871264696122,0.0009680546761956065,2.769294595718384,-0.00022794767053824216,0.0,0.10368619933724403,-0.8550724637681185,12
20,-0.8628019323671523,204.8,204.8,0.2,-4.340880550444126e-05,0.0009993606829084456,2.7696777105331423,-9.892265562854164e-05,0.0,0.10448909625411033,-0.8550724637681185,12
21,-0.8782608695652201,204.8,204.8,0.0,-0.0014684462919831276,0.0010540572518948465,2.7695743083953857,8.595426580093601e-05,0.0,0.10472607389092445,-0.8550724637681185,12
22,-0.8869565217391331,204.8,204.8,0.0,0.00027140900492668153,0.001105227880179882,2.7688738346099853,-0.00017809905645549406,0.0,0.11487950161099433,-0.8550724637681185,12
23,-0.8763285024154616,204.8,204.8,0.0,7.98780471086502e-05,0.0008525457291398197,2.7681612253189085,0.0005827481462233663,0.0,0.09838561341166496,-0.8550724637681185,12
24,-0.8560386473429977,204.8,204.8,0.0,-0.0015468321740627288,0.0008139768964610994,2.767572021484375,-7.771776345180114e-05,0.0,0.09591190069913864,-0.8550724637681185,12
25,-0.8830917874396162,204.8,204.8,0.1,0.0035528529435396193,0.0008951204770710319,2.767415404319763,4.050655185494634e-05,0.0,0.1005447417497635,-0.8550724637681185,12
26,-0.8454106280193262,204.8,204.8,0.0,-0.0068676012568175794,0.0007958073227200657,2.7678157091140747,-0.00022142698489915346,0.0,0.10398944094777107,-0.8454106280193262,26
27,-0.8859903381642539,204.8,204.8,0.0,0.0002765381708741188,0.0009369137580506504,2.7685057401657103,0.00016279151728895158,0.0,0.11462728530168534,-0.8454106280193262,26
28,-0.8888888888888916,204.8,204.8,0.0,-0.0010310083627700806,0.0008487639541272074,2.7685025930404663,3.1399454948655146e-05,0.0,0.10335351973772049,-0.8454106280193262,26
29,-0.9004830917874423,204.8,204.8,0.0,-0.0007007196545600891,0.0008584571303799748,2.7686160087585447,0.0001576716960585145,0.0,0.10377504602074623,-0.8454106280193262,26
30,-0.8560386473429977,204.8,204.8,0.0,-0.0029165677726268767,0.000760175782488659,2.768891954421997,7.085888448727928e-05,0.0,0.10410598739981651,-0.8454106280193262,26
31,-0.8917874396135292,204.8,204.8,0.0,-0.003507473156787455,0.0008256136148702353,2.7692132711410524,0.000128750950747758,0.0,0.10770397260785103,-0.8454106280193262,26
32,-0.8743961352657031,204.8,204.8,0.0,-0.0039487574249506,0.0006707335647661239,2.769730043411255,-1.7126363616171147e-05,0.0,0.09029489755630493,-0.8454106280193262,26
33,-0.8734299516908239,204.8,204.8,0.0,0.0029077721759676934,0.0007942712982185185,2.769954705238342,0.0001146226336047107,0.0,0.10421212613582612,-0.8454106280193262,26
34,-0.8840579710144955,204.8,204.8,0.0,0.0030296143144369126,0.0006808777514379471,2.769369387626648,1.3607784845248716e-05,0.0,0.09545207098126411,-0.8454106280193262,26
35,-0.8763285024154616,204.8,204.8,0.0,-0.0017872791737318038,0.0007580758829135448,2.768901300430298,-9.260424899597553e-05,0.0,0.09502123668789864,-0.8454106280193262,26
36,-0.8724637681159446,204.8,204.8,0.0,-0.0036403201520442963,0.0008722577942535282,2.7689812660217283,0.0001979714360246021,0.0,0.11320252940058709,-0.8454106280193262,26
37,-0.8512077294686016,204.8,204.8,0.0,0.003406047821044922,0.0007601784833241254,2.7693215131759645,0.00010868644008148465,0.0,0.10606500655412673,-0.8454106280193262,26
38,-0.8618357487922731,204.8,204.8,0.0,0.00013631219044327736,0.0005921466305153445,2.769306015968323,-0.00014800283705778127,0.0,0.09045911431312562,-0.8454106280193262,26
39,-0.8782608695652201,204.8,204.8,0.0,-0.001118776947259903,0.0006270926620345563,2.768763709068298,0.0002696577351557039,0.0,0.09429218992590904,-0.8454106280193262,26
40,-0.8550724637681185,204.8,204.8,0.0,0.0008789006620645523,0.0006042544642696157,2.7681707382202148,2.158614483960264e-05,0.0,0.09686222895979882,-0.8454106280193262,26
41,-0.894685990338167,204.8,204.8,0.0,-0.0010123850777745246,0.0006834707950474694,2.7678316116333006,0.0001508617304807558,0.0,0.10133390873670578,-0.8454106280193262,26
42,-0.8666666666666692,204.8,204.8,0.0,-0.0022010574582964184,0.0005698384280549363,2.768167734146118,0.00017757656847550152,0.0,0.09641900211572647,-0.8454106280193262,26
43,-0.8724637681159446,204.8,204.8,0.0,-0.0032261468470096586,0.0005938720132689923,2.768698740005493,-0.00016643742923250215,0.0,0.09889784827828407,-0.8454106280193262,26
44,-0.8666666666666692,204.8,204.8,0.0,0.0010214783251285553,0.0006423700426239521,2.7692041397094727,3.629952780386248e-05,0.0,0.09742552861571312,-0.8454106280193262,26
45,-0.8685990338164278,204.8,204.8,0.0,-0.007482616975903511,0.000712688043131493,2.7690213918685913,-0.00040762926751192197,0.0,0.1116776444017887,-0.8454106280193262,26
