epoch,mean_return,mean_length,norm_length,success,pi_loss,v_loss,entropy,belief_loss,kl,clip_frac,grad_norm,eta_mean,alpha_sat,theta_mean,theta_sat,scratch_sat,surprise_mean,surprise_high,alpha_mean,scratch_norm,best_mmer,best_epoch
0,-0.4906743185078908,49.951219512195124,49.951219512195124,0.1951219512195122,-0.026337510474571366,0.03290298929801438,1.3794119706967982,7.317141474747077,0.0024965670521984377,0.017874223520842995,0.6344926277311836,0.49472402435977286,0.0,0.7032700137394231,0.0,0.0053045419726248195,2.6789029807579228,0.15118364907982873,0.0,18.316489382487973,-0.4906743185078908,0
1,-0.4906743185078908,49.951219512195124,49.951219512195124,0.1951219512195122,-0.01816726528198981,0.02432216583501275,1.373695484021815,7.6273752072962315,0.003261566517211599,0.0033476806995345323,0.5696246413196006,0.4946055077924961,0.0,0.7038027033573244,0.0,0.005901875087945927,2.7372059996535136,0.17700861485266103,0.0,18.736188562904918,-0.4906743185078908,0
2,-0.47919655667144895,49.951219512195124,49.951219512195124,0.36585365853658536,-0.012273473892270065,0.02161860534148972,1.3664513535615874,8.094647256339469,-0.0002256163787068345,0.009564801823438667,0.5617891582773953,0.494439208652915,0.0,0.704636919789198,0.0,0.006608026420197836,2.819517385668871,0.17156863339790485,0.0,19.314703452877882,-0.47919655667144895,2
3,-0.4562410329985652,49.951219512195124,49.951219512195124,0.3170731707317073,-0.0003459666651196596,0.017580700084203628,1.3692681469568393,8.235590760300799,0.004945343259051453,0.0,0.5402493713105597,0.4943885054530167,0.0,0.7048875645893377,0.0,0.006774289556211088,2.8445839300388243,0.20988762178799,0.0,19.489065682015767,-0.4562410329985652,3
4,-0.48971783835485394,49.951219512195124,49.951219512195124,0.14634146341463414,-0.007188524142271135,0.013818070320866821,1.3654468553822214,8.599357465418374,0.0043559151342445306,0.0014347202803303555,0.5062656286286145,0.4942580468770934,0.0,0.7055341804899821,0.0,0.007559602853001618,2.909111505601464,0.20247490013517985,0.0,19.950099619423472,-0.4562410329985652,3
5,-0.4887613582018173,49.951219512195124,49.951219512195124,0.2926829268292683,0.0030558425649182827,0.017601939968810213,1.3594826227281152,9.029587466542313,0.003739170501187512,0.006217121214764874,0.5512742182103599,0.4941012081576557,0.0,0.7062932732628613,0.0,0.00850697594308635,2.986566322605784,0.20331181985575977,0.0,20.493002403073195,-0.4562410329985652,3
6,-0.5174557627929219,49.951219512195124,49.951219512195124,0.2682926829268293,-0.016735515190947164,0.013846474733748814,1.3654861014063766,9.384499433563978,0.0014717261294164218,0.0,0.5601438821815863,0.49398094342976084,0.0,0.7069432982584325,0.0,0.008795834691604464,3.0463505721673734,0.22214252410865412,0.0,20.90514480776903,-0.4562410329985652,3
7,-0.4858919177427067,49.951219512195124,49.951219512195124,0.21951219512195122,0.007196137620556373,0.010707251273277329,1.36733522938519,9.674991002896936,0.004904239394463508,0.014347202939594664,0.5119691981775004,0.4939060538280301,0.0,0.7075352130866632,0.0,0.00865899455710882,3.0846912570116,0.22596844394759433,0.0,21.166809175072647,-0.4562410329985652,3
8,-0.5031085604973696,49.951219512195124,49.951219512195124,0.1951219512195122,-0.0008731635696277386,0.009988292262366995,1.3639196738964174,10.042052757449266,0.004537685956520585,0.009564801914299407,0.492862566578679,0.4937823065897314,0.0,0.7082081509799492,0.0,0.009442673201059423,3.146245124863415,0.20456720052695856,0.0,21.60642056348847,-0.4562410329985652,3
9,-0.48876135820181715,49.951219512195124,49.951219512195124,0.2682926829268293,0.00888925990680369,0.009853326204437308,1.3566255278703643,10.254784816648902,0.0026612767268954663,0.0014347202803303555,0.4811200434114875,0.4937259518518681,0.0,0.7086364365205532,0.0,0.009671051509496643,3.1750151878449975,0.2140124409300525,0.0,21.805002445127904,-0.4562410329985652,3
10,-0.511716881874701,49.951219512195124,49.951219512195124,0.1951219512195122,0.006694692686745306,0.01089806251636729,1.3618286644540183,10.44538944523509,0.003419983750862274,0.03491152673051125,0.5622515278618511,0.4936738123254078,0.0,0.7090163405348615,0.0,0.009641628439833478,3.201527211724258,0.23900048761833004,0.0,21.985827097078648,-0.4562410329985652,3
11,-0.527977044476327,49.951219512195124,49.951219512195124,0.21951219512195122,-0.011324965190596697,0.011378010786024899,1.3640701014821122,9.682200641166872,0.0076591349016980085,0.032520326717597685,0.563094568688695,0.49189984434988443,0.0,0.6979390484530751,0.0,0.00958651888025243,3.072380786988793,0.20074127837106948,0.012277422041246077,21.896700137998998,-0.4562410329985652,3
12,-0.4505021520803441,49.951219512195124,49.951219512195124,0.3170731707317073,0.007367337167989917,0.006883636633751959,1.3609455911124624,8.573565645915705,0.004984218872112517,0.011956002426947035,0.4968286640033489,0.4878051986054676,0.0,0.6874981246343473,0.0,0.00982190265388387,2.851911492464019,0.06521999290803583,0.024437144353258902,20.75825993607684,-0.4505021520803441,12
13,-0.4658058345289334,49.951219512195124,49.951219512195124,0.24390243902439024,-0.00011239414353196214,0.010160378154889658,1.3265978475896323,10.978731853205984,0.013006076558534604,0.07125777401393507,0.5633943222644853,0.4813765105677814,0.0,0.6917014369150487,0.0,0.023508256142277542,3.201586682622026,0.04561214907685431,0.036396645372960626,24.883251004102753,-0.4505021520803441,12
14,-0.4495456719273075,49.951219512195124,49.951219512195124,0.2682926829268293,-0.004815786804367856,0.013922222245416446,1.3354098796844482,9.197344035637087,0.009626797580006874,0.026781445232833306,0.6250128051856669,0.47849980142058396,0.0,0.6776379245083507,0.0,0.012655615261415155,2.9430014156713717,0.06988283405761893,0.04825335241309026,21.50143479137886,-0.4495456719273075,14
15,-0.48493543758966984,49.951219512195124,49.951219512195124,0.24390243902439024,0.005076750749494971,0.012429051331198978,1.3361855425485751,8.759454308486566,0.007063368588427604,0.05021520962984097,0.5560549980983501,0.4727760793232336,0.0,0.6671977770037767,0.0,0.00962248023190513,2.8704747572177793,0.06539933310776222,0.05965270092938005,19.85119117178568,-0.4495456719273075,14
16,-0.4715447154471544,49.951219512195124,49.951219512195124,0.1951219512195122,0.002140544786504129,0.008206072212310463,1.3326020967669603,9.326873616474431,0.014694388758493361,0.06456241193341046,0.5286148186863923,0.4644274348165931,0.0,0.6627384991180606,0.0,0.012831686064600945,2.963899536830623,0.04656862940003232,0.07101269266227396,21.083032142825243,-0.4495456719273075,14
17,-0.4811095169775226,49.951219512195124,49.951219512195124,0.24390243902439024,0.0039031795430474166,0.012346911408779462,1.3353407964473818,8.360141172641661,0.006455490285411432,0.027259685553428604,0.5753974954529506,0.4638877518293334,0.0,0.6558613544557153,0.0,0.0078557006469587,2.8287720273180708,0.06426351285744004,0.0827161100942914,19.120313528107435,-0.4495456719273075,14
18,-0.5145863223338115,49.951219512195124,49.951219512195124,0.17073170731707318,0.0012049291271534635,0.007959663258899548,1.3429573076527292,8.67279349303827,0.0035168928741591008,0.0038259207929779845,0.5082113343041118,0.4605814080412795,0.0,0.6515080071077114,0.0,0.007906373601588534,2.854498671322334,0.07765423551928706,0.09405091586636334,18.541339036895007,-0.4495456719273075,14
19,-0.5040650406504065,49.951219512195124,49.951219512195124,0.21951219512195122,-0.015020439446699329,0.008600683557721445,1.3485833057543126,8.432895183563232,0.0062199491800217915,0.009086561820855954,0.5586705502213501,0.45948315829765507,0.0,0.6484278745767547,0.0,0.006537037640355709,2.8316321198533223,0.11053324145514791,0.10537692650062282,18.06307708926317,-0.4495456719273075,14
20,-0.4887613582018172,49.951219512195124,49.951219512195124,0.24390243902439024,-0.0037393647859372743,0.013602658799599583,1.3365180085345012,8.445098969994522,0.0047741924425325835,0.00047824009344345187,0.6316025184422005,0.45447124867904476,0.0,0.6411175524316183,0.0,0.006498741082529106,2.8435152507409818,0.10796270183310276,0.1159770857633614,17.9073657524295,-0.4495456719273075,14
21,-0.4906743185078908,49.951219512195124,49.951219512195124,0.2926829268292683,-0.0037928697789405903,0.006886794405035311,1.3497188236655258,8.048445515516327,0.012101449661536097,0.010999522149199394,0.528190990773643,0.4494986861217313,0.0,0.6341530026459112,0.0,0.004925779532641172,2.7873432578110116,0.12792922474625634,0.12633308005042193,17.22722509430676,-0.4495456719273075,14
22,-0.48684839789574347,49.951219512195124,49.951219512195124,0.2926829268292683,0.009745669255896313,0.007134812690953656,1.35019406748981,8.042864055168337,0.005088002072425741,0.0019129603737738075,0.5248708670459142,0.45041571957309073,0.0,0.6322435300524641,0.0,0.004560561038599145,2.7928178077790795,0.11591344340363653,0.1374944179523282,16.970486222243892,-0.4495456719273075,14
23,-0.5145863223338115,49.951219512195124,49.951219512195124,0.2926829268292683,-0.009097057417398545,0.009529135987821331,1.3457765637374506,8.468070274446069,0.001668958177949052,0.02056432397263806,0.5895136983656302,0.44817971092898673,0.0,0.629241770360528,0.0,0.004105205460247107,2.8568339057084993,0.07496413502206163,0.14861991456369075,16.62201832561958,-0.4495456719273075,14
